Date,FB,GOOGL,T,VZ,DIS,CMCSA,NFLX,AMZN,HD,MCD,PG,KO,PEP,WMT,COST,PM,XOM,CVX,BRK-B,JPM,BAC,WFC,C,JNJ,UNH,MRK,PFE,MDT,ABT,AMGN,TMO,ABBV,LLY,BA,HON,UNP,UTX,MSFT,AAPL,V,MA,INTC,CSCO,ADBE,CRM,ORCL,IBM,ACN,AVGO
2015-01-23,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-01-26,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-01-27,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-01-28,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-01-29,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-01-30,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-02,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-03,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-04,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-05,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-06,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-09,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-10,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-11,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-12,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-13,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-17,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-18,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-19,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-20,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-23,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-24,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-25,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-26,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-02-27,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-02,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-03,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-04,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-05,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-06,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-09,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-10,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-11,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-12,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-13,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-16,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-17,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-18,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-19,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-20,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-23,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-24,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-25,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-26,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-27,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-30,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-03-31,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-04-01,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-04-02,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-04-06,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-04-07,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
2015-04-08,217.51,359.98,183.52,202.63,148.49,139.56,26.41,149.45,109.45,99.57,212.66,184.93,132.73,276.26,51.25,132.61,432.36,248.52,286.54,233.94,161.63,276.84,143.08,295.98,80.1,161.9,189.32,62.63,61.43,121.17,50.12,104.26,69.6,92.78,69.4,90.36,104.84,344.46,560.34,163.31,85.84,179.77,132.78,36.75,33.31,187.14,183.48,65.9,16.05
